source,source_url,published_at,symbol,related_symbols,title,summary,quality_flag,event_type,sentiment,impact_score,confidence,audit_source,audit_fetched_at,audit_quality_flag,fetched_at,effective_date,announce_date,audit_raw_hash,raw_hash
eastmoney_stock_news,http://finance.eastmoney.com/a/202605293754138833.html,2026-05-29 12:23:00,000002,000002,4分钟涨停！000002，封单超15亿元,5月29日早盘，房地产板块大涨，阳光股份、天健集团、绿地控股、万科A、金融街等个股涨停。 其中，万科A直线拉升，4分钟涨停，最新市值409亿元，最高封单额超15亿元；阳光股份（000608.SZ）3天2板。 港股方面，碧桂园盘中涨超30%，中国奥园盘中涨超20%。 消息面上,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,15482751540806637959,4965968713271681022
eastmoney_stock_news,http://finance.eastmoney.com/a/202606103766872698.html,2026-06-10 19:51:03,000002,000002,万科A：23万科MTN003本次持有人会议的本议案生效,万科A000002.SZ)公告称，公司在中国银行间市场交易商协会披露了《关于2023年度第三期中期票据2026年第一次持有人会议的答复公告》。,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,17697226055311825516,3795711371488646497
eastmoney_stock_news,http://finance.eastmoney.com/a/202606103767042940.html,2026-06-10 22:19:00,000002,000002,万科再展期两笔中票票据 本金规模40亿元,6月10日，万科000002又完成两笔中期票据展期，本金总规模合计40亿元。两份展期方案均以100%的“同意票”获得通过，万科“固定兑付+部分即付+剩余展期+资产增信”的展期结构安排已经较为成熟。,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,17079645530210255479,7442021229525059074
eastmoney_stock_news,http://finance.eastmoney.com/a/202606103766872310.html,2026-06-10 19:53:18,000002,000002,万科40亿中票展期方案获通过 短期偿债压力进一步缓释,6月10日，万科（000002.SZ)旗下“23万科MTN003”“23万科MTN004”2026年第一次持有人会议决议披露，两笔债券的展期方案均获100%通过。,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,9338483206601126063,10111643651893543954
eastmoney_stock_news,http://finance.eastmoney.com/a/202606083763667183.html,2026-06-08 17:12:00,000002,000002,7.87亿主力资金净流入，空间计算概念涨0.41%,-4.14 1.57 -1819.46 -3.21 301312 智立方 -4.07 6.27 -1854.91 -4.28 605289 罗曼股份 -4.35 2.78 -3088.80 -6.98 000925 众合科技 -5.32 8.73 -4332.56 -8.89 000002,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,6777817467825250416,9428354692514044029
eastmoney_stock_news,http://finance.eastmoney.com/a/202606083763668480.html,2026-06-08 17:12:00,000002,000002,8401.85万元资金今日流入房地产股,1.08 -2716.05 600376 首开股份 -6.17 2.86 -2816.95 600791 京能置业 -9.97 4.35 -3030.18 600208 衢州发展 -3.16 1.69 -5444.60 002208 合肥城建 -5.75 5.69 -6677.44 000002,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,1678794538211344826,683656329661590603
eastmoney_stock_news,http://finance.eastmoney.com/a/202606033759095171.html,2026-06-03 16:56:00,000002,000002,租售同权概念下跌1.95%，主力资金净流出24股,（数据宝） 租售同权概念资金流出榜 代码 简称 今日涨跌幅（%） 今日换手率（%） 主力资金流量（万元） 600048 保利发展 -1.79 1.35 -13122.96 000002 万科A -3.24 2.18 -11363.38 600376 首开股份 -4.42 5.28,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,2246757003268216797,14384258309568487480
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1225344159&orgId=gssz0000002&announcementTime=2026-06-02 00:00:00,2026-06-02 00:00:00,000002,000002,关于按照《香港上市规则》公布2026年5月证券变动月报表的公告,关于按照《香港上市规则》公布2026年5月证券变动月报表的公告,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,2704554269271899629,9851775033751943820
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1225339695&orgId=gssz0000002&announcementTime=2026-05-30 00:00:00,2026-05-30 00:00:00,000002,000002,关于担保进展情况的公告,关于担保进展情况的公告,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,18208014140174454567,8649874157242220794
cninfo_disclosure,http://www.cninfo.com.cn/new/disclosure/detail?stockCode=000002&announcementId=1225339694&orgId=gssz0000002&announcementTime=2026-05-30 00:00:00,2026-05-30 00:00:00,000002,000002,广东信达律师事务所关于万科企业股份有限公司2025年度股东会的法律意见书,广东信达律师事务所关于万科企业股份有限公司2025年度股东会的法律意见书,ok,,,,,akshare,2026-06-13T17:06:50,raw_event,2026-06-13T12:48:10,2026-06-13 12:48:10,,10156253342517198237,14068590873790168712
